# ----------------------------------------
# highcharts.com
# Audience Overview
# 20171217-20180117
# ----------------------------------------

Day Index,Users,Sessions
12/18/17,"40,585","48,351"
12/19/17,"43,039","51,499"
12/20/17,"44,926","53,359"
12/21/17,"41,256","49,018"
12/22/17,"36,844","43,332"
12/23/17,"28,955","33,419"
12/24/17,"26,113","30,020"
12/25/17,"28,433","33,183"
12/26/17,"32,687","38,782"
12/27/17,"35,689","42,566"
12/28/17,"33,656","39,972"
12/29/17,"34,559","40,414"
12/30/17,"29,197","33,565"
12/31/17,"26,495","30,738"
