Nom du port,Nom du Navire,Voyage,Voyage local,Service,ETA,ETD,Terminal,Date limite de livraison au port,Date limite Remise doc,Import,produit,poid du produit,year,month,day
sfax,FAS DAMMAM,1RSC3N1MA,,MALTA TS E,2020-02-28 03:00:00,01/03/2020 17:00,O.M.M.P. SFAX,26/02/2020 15:00,--,Hydrocarbures:1263/varac liquide:2758 /varac solide:9244,Hydrocarbures,1263.0,2020.0,2.0,28.0
sfax,NAF TS SFAX,2VZ1QN1MA,,MALTA TS B,2020-03-06 03:00:00,07/03/2020 04:00,O.M.M.P. SFAX,04/03/2020 15:00,--,cereales:12225/conteneurs nombre EVP:300,cereales,12225.0,2020.0,3.0,6.0
sfax,WILHELMINE,0WE0AN1MA,,Westmed Service,2020-02-25 19:00:00,28/02/2020 19:00,O.M.M.P. SFAX,24/02/2020 07:00,--,conteneurs tonnage:670/conteneurs nombre EVP:505,conteneurs tonnage,670.0,2020.0,2.0,25.0
sfax,NAF TS SFAX,2VZ0GN1MA,,MALTA TS B,2020-02-28 03:00:00,29/02/2020 04:00,O.M.M.P. SFAX,26/02/2020 15:00,--,cereales:5400/Hydrocarbures:5163,cereales,5400.0,2020.0,2.0,28.0
sfax,FAS DAMMAM,1RSC3N1MA,,MALTA TS E,2020-02-28 09:00:00,01/03/2020 22:00,O.M.M.P. SFAX,26/02/2020 21:00,--,varac liquide:1058 /varac solide:5040,varac liquide,1058.0,2020.0,2.0,28.0
sfax,FAS DAMMAM,1RSCDS1MA,,MALTA TS E,2020-03-04 06:00:00,06/03/2020 18:00,O.M.M.P. SFAX,02/03/2020 18:00,--,varac solide:3040/cereales:7400,varac solide,3040.0,2020.0,3.0,4.0
sfax,NAF TS SFAX,2VZ1QN1MA,,MALTA TS B,2020-03-06 03:00:00,07/03/2020 04:00,O.M.M.P. SFAX,04/03/2020 15:00,--,cereales:6860/conteneurs tonnage:390,cereales,6860.0,2020.0,3.0,6.0
sfax,NAF TS SFAX,2VZ0GN1MA,,MALTA TS B,2020-02-28 03:00:00,29/02/2020 04:00,O.M.M.P. SFAX,26/02/2020 15:00,--,varac solide:5120/,varac solide,5120.0,2020.0,2.0,28.0
sfax,FAS DAMMAM,1RSC3N1MA,,MALTA TS E,2020-02-28 04:00:00,01/03/2020 17:00,O.M.M.P. SFAX,26/02/2020 16:00,--,cereales:2860/,cereales,2860.0,2020.0,2.0,28.0
sfax,NAF TS SFAX,2VZ1QN1MA,,MALTA TS B,2020-03-06 03:00:00,07/03/2020 04:00,O.M.M.P. SFAX,04/03/2020 15:00,--,varac solide:2500/conteneurs tonnage:750,varac solide,2500.0,2020.0,3.0,6.0
sfax,NAF TS SFAX,2VZ1QN1MA,,MALTA TS B,2020-03-06 03:00:00,07/03/2020 04:00,O.M.M.P. SFAX,04/03/2020 15:00,--,conteneurs nombre EVP:290,conteneurs nombre EVP,290.0,2020.0,3.0,6.0
sfax,JANINA,1RSD1N1MA,,MALTA TS E,2020-03-08 21:00:00,11/03/2020 10:00,O.M.M.P. SFAX,07/03/2020 09:00,--,varac liquide:3058/conteneurs tonnage:350,varac liquide,3058.0,2020.0,3.0,8.0
sfax,NAF TS SFAX,2VZ1SN1MA,,MALTA TS B,2020-03-13 03:00:00,14/03/2020 04:00,O.M.M.P. SFAX,11/03/2020 15:00,--,cereales:8830/conteneurs nombre EVP:250,cereales,8830.0,2020.0,3.0,13.0
sfax,CONTSHIP CUB,0TK1PN1MA,,Tyrrhenian Express 2,2020-03-14 10:30:00,17/03/2020 10:30,O.M.M.P. SFAX,12/03/2020 22:30,--,conteneurs nombre EVP:300,conteneurs nombre EVP,300.0,2020.0,3.0,14.0
sfax,JANINA,1RSD1N1MA,,MALTA TS E,2020-03-08 21:00:00,11/03/2020 10:00,O.M.M.P. SFAX,07/03/2020 09:00,--,varac solide:5066/varac liquide:702,varac solide,5066.0,2020.0,3.0,8.0
