Nom du port,ETA,produit,poid du produit
sfax,28/02/2020 03:00,Hydrocarbures,1263.0
sfax,06/03/2020 03:00,cereales,12225.0
sfax,25/02/2020 19:00,conteneurs tonnage,670.0
sfax,28/02/2020 03:00,cereales,5400.0
sfax,28/02/2020 09:00,varac liquide,1058.0
sfax,04/03/2020 06:00,varac solide,3040.0
sfax,06/03/2020 03:00,cereales,6860.0
sfax,28/02/2020 03:00,varac solide,5120.0
sfax,28/02/2020 04:00,cereales,2860.0
sfax,06/03/2020 03:00,varac solide,2500.0
sfax,06/03/2020 03:00,conteneurs nombre EVP,290.0
sfax,08/03/2020 21:00,varac liquide,3058.0
sfax,13/03/2020 03:00,cereales,8830.0
sfax,14/03/2020 10:30,conteneurs nombre EVP,300.0
sfax,08/03/2020 21:00,varac solide,5066.0
sfax,13/03/2020 03:00,conteneurs nombre EVP,780.0
sfax,14/03/2020 10:30,varac solide,1055.0
sfax,06/03/2020 03:00,conteneurs tonnage,6025.0
sfax,08/03/2020 00:00,cereales,13450.0
sfax,13/03/2020 03:00,varac solide,3300.0
sfax,28/01/2020 03:00,Hydrocarbures,1263.0
sfax,06/02/2020 03:00,cereales,12225.0
sfax,25/01/2020 19:00,conteneurs tonnage,670.0
sfax,28/01/2020 03:00,cereales,5400.0
sfax,28/01/2020 09:00,varac liquide,1058.0
sfax,04/02/2020 06:00,varac solide,3040.0
sfax,06/02/2020 03:00,cereales,6860.0
sfax,28/01/2020 03:00,varac solide,5120.0
sfax,28/01/2020 04:00,cereales,2860.0
sfax,06/02/2020 03:00,varac solide,2500.0
sfax,06/02/2020 03:00,conteneurs nombre EVP,290.0
sfax,08/02/2020 21:00,varac liquide,3058.0
sfax,13/02/2020 03:00,cereales,8830.0
sfax,14/02/2020 10:30,conteneurs nombre EVP,300.0
sfax,08/02/2020 21:00,varac solide,5066.0
sfax,13/02/2020 03:00,conteneurs nombre EVP,780.0
sfax,14/02/2020 10:30,varac solide,1055.0
sfax,06/02/2020 03:00,conteneurs tonnage,6025.0
sfax,08/02/2020 00:00,cereales,13450.0
sfax,13/02/2020 03:00,varac solide,3300.0
sfax,28/03/2020 03:00,Hydrocarbures,1263.0
sfax,06/04/2020 03:00,cereales,12225.0
sfax,25/03/2020 19:00,conteneurs tonnage,670.0
sfax,28/03/2020 03:00,cereales,5400.0
sfax,28/03/2020 09:00,varac liquide,1058.0
sfax,04/04/2020 06:00,varac solide,3040.0
sfax,06/04/2020 03:00,cereales,6860.0
sfax,28/03/2020 03:00,varac solide,5120.0
sfax,28/03/2020 04:00,cereales,2860.0
sfax,06/04/2020 03:00,varac solide,2500.0
sfax,06/04/2020 03:00,conteneurs nombre EVP,290.0
sfax,08/04/2020 21:00,varac liquide,3058.0
sfax,13/04/2020 03:00,cereales,8830.0
sfax,14/04/2020 10:30,conteneurs nombre EVP,300.0
sfax,08/04/2020 21:00,varac solide,5066.0
sfax,13/04/2020 03:00,conteneurs nombre EVP,780.0
sfax,14/04/2020 10:30,varac solide,1055.0
sfax,06/04/2020 03:00,conteneurs tonnage,6025.0
sfax,08/04/2020 00:00,cereales,13450.0
sfax,13/04/2020 03:00,varac solide,3300.0
sfax,28/04/2020 03:00,Hydrocarbures,1263.0
sfax,06/05/2020 03:00,cereales,12225.0
sfax,25/04/2020 19:00,conteneurs tonnage,670.0
sfax,28/04/2020 03:00,cereales,5400.0
sfax,28/04/2020 09:00,varac liquide,1058.0
sfax,04/05/2020 06:00,varac solide,3040.0
sfax,06/05/2020 03:00,cereales,6860.0
sfax,28/04/2020 03:00,varac solide,5120.0
sfax,28/04/2020 04:00,cereales,2860.0
sfax,06/05/2020 03:00,varac solide,2500.0
sfax,06/05/2020 03:00,conteneurs nombre EVP,290.0
sfax,08/05/2020 21:00,varac liquide,3058.0
sfax,13/05/2020 03:00,cereales,8830.0
sfax,14/05/2020 10:30,conteneurs nombre EVP,300.0
sfax,08/05/2020 21:00,varac solide,5066.0
sfax,13/05/2020 03:00,conteneurs nombre EVP,780.0
sfax,14/05/2020 10:30,varac solide,1055.0
sfax,06/05/2020 03:00,conteneurs tonnage,6025.0
sfax,08/05/2020 00:00,cereales,13450.0
sfax,13/05/2020 03:00,varac solide,3300.0
sfax,28/05/2020 03:00,Hydrocarbures,1263.0
sfax,06/06/2020 03:00,cereales,12225.0
sfax,25/05/2020 19:00,conteneurs tonnage,670.0
sfax,28/05/2020 03:00,cereales,5400.0
sfax,28/05/2020 09:00,varac liquide,1058.0
